App, thread, inputdata, exetime 
saxpy_offload,4,default,1.592357
saxpy_offload,8,default,1.640247
saxpy_offload,16,default,1.651415
saxpy_offload,32,default,1.586913
saxpy_offload,64,default,1.650239
saxpy_offload,128,default,1.643866
saxpy_offload,256,default,1.647744
