kernel,InputData,thread,event/metric,invocation,min,max,avg
__omp_offloading_2f_3253403_main_l37,default,128,1,inst_executed_fp16_pipe_s1,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,inst_executed_fp16_pipe_s2,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,inst_executed_fp16_pipe_s3,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,inst_executed_fp64_pipe_s0,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,inst_executed_fp64_pipe_s1,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,inst_executed_fp64_pipe_s2,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,inst_executed_fp64_pipe_s3,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,inst_executed_fma_pipe_s0,203948034,203948034,203948034
__omp_offloading_2f_3253403_main_l37,default,128,1,inst_executed_fma_pipe_s1,203948026,203948026,203948026
__omp_offloading_2f_3253403_main_l37,default,128,1,inst_executed_fma_pipe_s2,203948034,203948034,203948034
__omp_offloading_2f_3253403_main_l37,default,128,1,inst_executed_fma_pipe_s3,203948034,203948034,203948034
__omp_offloading_2f_3253403_main_l37,default,128,1,tensor_pipe_active_cycles_s0,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,tensor_pipe_active_cycles_s1,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,tensor_pipe_active_cycles_s2,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,tensor_pipe_active_cycles_s3,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,pcie_tx_active_pulse,1,1,1
__omp_offloading_2f_3253403_main_l37,default,128,1,pcie_rx_active_pulse,2,2,2
__omp_offloading_2f_3253403_main_l37,default,128,1,active_cycles_sys,352383203,352383203,352383203
__omp_offloading_2f_3253403_main_l37,default,128,1,elapsed_cycles_sys,352383203,352383203,352383203
__omp_offloading_2f_3253403_main_l27,default,128,1,fb_subp0_read_sectors,823402933,823402933,823402933
__omp_offloading_2f_3253403_main_l27,default,128,1,fb_subp1_read_sectors,822647669,822647669,822647669
__omp_offloading_2f_3253403_main_l27,default,128,1,fb_subp0_write_sectors,2004884007,2004884007,2004884007
__omp_offloading_2f_3253403_main_l27,default,128,1,fb_subp1_write_sectors,2005715488,2005715488,2005715488
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp0_write_sector_misses,2006653803,2006653803,2006653803
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp1_write_sector_misses,2003430599,2003430599,2003430599
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp0_read_sector_misses,824201460,824201460,824201460
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp1_read_sector_misses,821804985,821804985,821804985
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp0_read_tex_sector_queries,936014068,936014068,936014068
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp1_read_tex_sector_queries,933974982,933974982,933974982
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp0_write_tex_sector_queries,2293587828,2293587828,2293587828
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp1_write_tex_sector_queries,2286592140,2286592140,2286592140
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp0_read_tex_hit_sectors,110610702,110610702,110610702
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp1_read_tex_hit_sectors,111043342,111043342,111043342
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp0_write_tex_hit_sectors,500714728,500714728,500714728
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp1_write_tex_hit_sectors,495601824,495601824,495601824
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp0_total_read_sector_queries,934695517,934695517,934695517
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp1_total_read_sector_queries,933546362,933546362,933546362
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp0_total_write_sector_queries,2293576967,2293576967,2293576967
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp1_total_write_sector_queries,2286603126,2286603126,2286603126
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp0_read_sysmem_sector_queries,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp1_read_sysmem_sector_queries,759548,759548,759548
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp0_write_sysmem_sector_queries,4,4,4
__omp_offloading_2f_3253403_main_l27,default,128,1,l2_subp1_write_sysmem_sector_queries,1,1,1
__omp_offloading_2f_3253403_main_l27,default,128,1,elapsed_cycles_sm,3.3420e+10,3.3420e+10,3.3420e+10
__omp_offloading_2f_3253403_main_l27,default,128,1,prof_trigger_00,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,prof_trigger_01,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,prof_trigger_02,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,prof_trigger_03,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,prof_trigger_04,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,prof_trigger_05,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,prof_trigger_06,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,prof_trigger_07,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,warps_launched,4194304,4194304,4194304
__omp_offloading_2f_3253403_main_l27,default,128,1,inst_issued0,1.1957e+11,1.1957e+11,1.1957e+11
__omp_offloading_2f_3253403_main_l27,default,128,1,inst_issued1,1.5659e+10,1.5659e+10,1.5659e+10
__omp_offloading_2f_3253403_main_l27,default,128,1,inst_executed,5.2770e+10,5.2770e+10,5.2770e+10
__omp_offloading_2f_3253403_main_l27,default,128,1,thread_inst_executed,1.6383e+12,1.6383e+12,1.6383e+12
__omp_offloading_2f_3253403_main_l27,default,128,1,not_predicated_off_thread_inst_executed,1.5801e+12,1.5801e+12,1.5801e+12
__omp_offloading_2f_3253403_main_l27,default,128,1,active_cycles,3.3417e+10,3.3417e+10,3.3417e+10
__omp_offloading_2f_3253403_main_l27,default,128,1,active_warps,2.8329e+12,2.8329e+12,2.8329e+12
__omp_offloading_2f_3253403_main_l27,default,128,1,shared_atom,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,sm_cta_launched,1048576,1048576,1048576
__omp_offloading_2f_3253403_main_l27,default,128,1,shared_atom_cas,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,shared_load,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,shared_store,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,generic_load,281018368,281018368,281018368
__omp_offloading_2f_3253403_main_l27,default,128,1,generic_store,290455552,290455552,290455552
__omp_offloading_2f_3253403_main_l27,default,128,1,global_load,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,global_store,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,local_load,583008256,583008256,583008256
__omp_offloading_2f_3253403_main_l27,default,128,1,local_store,591396864,591396864,591396864
__omp_offloading_2f_3253403_main_l27,default,128,1,atom_count,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,gred_count,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,shared_ld_transactions,13929020,13929020,13929020
__omp_offloading_2f_3253403_main_l27,default,128,1,shared_st_transactions,9775364,9775364,9775364
__omp_offloading_2f_3253403_main_l27,default,128,1,shared_ld_bank_conflict,629125,629125,629125
__omp_offloading_2f_3253403_main_l27,default,128,1,shared_st_bank_conflict,234481,234481,234481
__omp_offloading_2f_3253403_main_l27,default,128,1,global_atom_cas,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,active_cycles_pm,3.3410e+10,3.3410e+10,3.3410e+10
__omp_offloading_2f_3253403_main_l27,default,128,1,active_warps_pm,3.5451e+11,3.5451e+11,3.5451e+11
__omp_offloading_2f_3253403_main_l27,default,128,1,elapsed_cycles_pm,3.3413e+10,3.3413e+10,3.3413e+10
