==76788== NVPROF is profiling process 76788, command: mm_offload 8 350
==76788== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==76788== Profiling application: mm_offload 8 350
==76788== Profiling result:
==76788== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_2f_13046cf_main_l50
          1                     fb_subp0_read_sectors        1344        1344        1344        1344
          1                     fb_subp1_read_sectors        1208        1208        1208        1208
          1                    fb_subp0_write_sectors         792         792         792         792
          1                    fb_subp1_write_sectors         732         732         732         732
          1              l2_subp0_write_sector_misses        1878        1878        1878        1878
          1              l2_subp1_write_sector_misses        1886        1886        1886        1886
          1               l2_subp0_read_sector_misses         186         186         186         186
          1               l2_subp1_read_sector_misses         120         120         120         120
          1          l2_subp0_read_tex_sector_queries          93          93          93          93
          1          l2_subp1_read_tex_sector_queries          90          90          90          90
          1         l2_subp0_write_tex_sector_queries        2476        2476        2476        2476
          1         l2_subp1_write_tex_sector_queries        2268        2268        2268        2268
          1             l2_subp0_read_tex_hit_sectors          60          60          60          60
          1             l2_subp1_read_tex_hit_sectors          64          64          64          64
          1            l2_subp0_write_tex_hit_sectors         924         924         924         924
          1            l2_subp1_write_tex_hit_sectors         908         908         908         908
          1        l2_subp0_total_read_sector_queries         245         245         245         245
          1        l2_subp1_total_read_sector_queries         495         495         495         495
          1       l2_subp0_total_write_sector_queries        2388        2388        2388        2388
          1       l2_subp1_total_write_sector_queries        2381        2381        2381        2381
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries         365         365         365         365
          1      l2_subp0_write_sysmem_sector_queries           4           4           4           4
          1      l2_subp1_write_sysmem_sector_queries           1           1           1           1
          1                         elapsed_cycles_sm     9643746     9643746     9643746     9643746
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
