==74733== NVPROF is profiling process 74733, command: mm_offload 16 150
==74733== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==74733== Profiling application: mm_offload 16 150
==74733== Profiling result:
==74733== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_2f_13046cf_main_l50
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched           8           8           8           8
          1                              inst_issued0      907736      907736      907736      907736
          1                              inst_issued1       52810       52810       52810       52810
          1                             inst_executed       52778       52778       52778       52778
          1                      thread_inst_executed     4959136     4959136     4959136     4959136
          1   not_predicated_off_thread_inst_executed     4796282     4796282     4796282     4796282
          1                             active_cycles      242649      242649      242649      242649
          1                              active_warps     2095266     2095266     2095266     2095266
          1                               shared_atom           0           0           0           0
          1                           sm_cta_launched           2           2           2           2
          1                           shared_atom_cas           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                              generic_load        2016        2016        2016        2016
          1                             generic_store         874         874         874         874
          1                               global_load           0           0           0           0
          1                              global_store           0           0           0           0
          1                                local_load        1168        1168        1168        1168
          1                               local_store        1184        1184        1184        1184
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                    shared_ld_transactions          24          24          24          24
          1                    shared_st_transactions          18          18          18          18
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                          active_cycles_pm      242727      242727      242727      242727
          1                           active_warps_pm      960696      960696      960696      960696
          1                         elapsed_cycles_pm    10381650    10381650    10381650    10381650
          1                inst_executed_fp16_pipe_s0           0           0           0           0
          1                inst_executed_fp16_pipe_s1           0           0           0           0
          1                inst_executed_fp16_pipe_s2           0           0           0           0
          1                inst_executed_fp16_pipe_s3           0           0           0           0
          1                inst_executed_fp64_pipe_s0          64          64          64          64
          1                inst_executed_fp64_pipe_s1          64          64          64          64
          1                inst_executed_fp64_pipe_s2          64          64          64          64
          1                inst_executed_fp64_pipe_s3          64          64          64          64
          1                 inst_executed_fma_pipe_s0         652         652         652         652
          1                 inst_executed_fma_pipe_s1         652         652         652         652
          1                 inst_executed_fma_pipe_s2         650         650         650         650
          1                 inst_executed_fma_pipe_s3         650         650         650         650
          1              tensor_pipe_active_cycles_s0           0           0           0           0
          1              tensor_pipe_active_cycles_s1           0           0           0           0
          1              tensor_pipe_active_cycles_s2           0           0           0           0
          1              tensor_pipe_active_cycles_s3           0           0           0           0
          1                      pcie_tx_active_pulse           0           0           0           0
          1                      pcie_rx_active_pulse           0           0           0           0
          1                         active_cycles_sys      119807      119807      119807      119807
          1                        elapsed_cycles_sys      119807      119807      119807      119807

==74733== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_2f_13046cf_main_l50
          1                             inst_per_warp                                            Instructions per warp  1.9746e+04  1.9746e+04  1.9746e+04
          1                         branch_efficiency                                                Branch Efficiency      99.60%      99.60%      99.60%
          1                 warp_execution_efficiency                                        Warp Execution Efficiency      98.10%      98.10%      98.10%
          1         warp_nonpred_execution_efficiency                         Warp Non-Predicated Execution Efficiency      94.88%      94.88%      94.88%
          1                      inst_replay_overhead                                      Instruction Replay Overhead    0.000606    0.000606    0.000606
          1      shared_load_transactions_per_request                      Shared Memory Load Transactions Per Request    1.000000    1.000000    1.000000
          1     shared_store_transactions_per_request                     Shared Memory Store Transactions Per Request    1.000000    1.000000    1.000000
          1       local_load_transactions_per_request                       Local Memory Load Transactions Per Request    4.000000    4.000000    4.000000
          1      local_store_transactions_per_request                      Local Memory Store Transactions Per Request    4.000000    4.000000    4.000000
          1              gld_transactions_per_request                             Global Load Transactions Per Request    2.777778    2.777778    2.777778
          1              gst_transactions_per_request                            Global Store Transactions Per Request    8.000000    8.000000    8.000000
          1                 shared_store_transactions                                        Shared Store Transactions          18          18          18
          1                  shared_load_transactions                                         Shared Load Transactions          24          24          24
          1                   local_load_transactions                                          Local Load Transactions       14240       14240       14240
          1                  local_store_transactions                                         Local Store Transactions       10720       10720       10720
          1                          gld_transactions                                         Global Load Transactions         800         800         800
          1                          gst_transactions                                        Global Store Transactions          64          64          64
          1                  sysmem_read_transactions                                  System Memory Read Transactions           1           1           1
          1                 sysmem_write_transactions                                 System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                             L2 Read Transactions        1319        1319        1319
          1                     l2_write_transactions                                            L2 Write Transactions       10815       10815       10815
          1                    dram_read_transactions                                  Device Memory Read Transactions         434         434         434
          1                   dram_write_transactions                                 Device Memory Write Transactions        6950        6950        6950
          1                           global_hit_rate                                Global Hit Rate in unified l1/tex      69.68%      69.68%      69.68%
          1                            local_hit_rate                                                   Local Hit Rate      75.69%      75.69%      75.69%
          1                  gld_requested_throughput                                 Requested Global Load Throughput  210.25MB/s  210.25MB/s  210.25MB/s
          1                  gst_requested_throughput                                Requested Global Store Throughput  23.200MB/s  23.200MB/s  23.200MB/s
          1                            gld_throughput                                           Global Load Throughput  290.00MB/s  290.00MB/s  290.00MB/s
          1                            gst_throughput                                          Global Store Throughput  23.200MB/s  23.200MB/s  23.200MB/s
          1                     local_memory_overhead                                            Local Memory Overhead      97.67%      97.67%      97.67%
          1                        tex_cache_hit_rate                                           Unified Cache Hit Rate      56.45%      56.45%      56.45%
          1                      l2_tex_read_hit_rate                                      L2 Hit Rate (Texture Reads)      65.37%      65.37%      65.37%
          1                     l2_tex_write_hit_rate                                     L2 Hit Rate (Texture Writes)      45.70%      45.70%      45.70%
          1                      dram_read_throughput                                    Device Memory Read Throughput  157.33MB/s  157.33MB/s  157.33MB/s
          1                     dram_write_throughput                                   Device Memory Write Throughput  2.4603GB/s  2.4603GB/s  2.4603GB/s
          1                      tex_cache_throughput                       Unified cache to Multiprocessor throughput  5.9331GB/s  5.9331GB/s  5.9331GB/s
          1                    l2_tex_read_throughput                                    L2 Throughput (Texture Reads)  167.48MB/s  167.48MB/s  167.48MB/s
          1                   l2_tex_write_throughput                                   L2 Throughput (Texture Writes)  3.8176GB/s  3.8176GB/s  3.8176GB/s
          1                        l2_read_throughput                                            L2 Throughput (Reads)  478.14MB/s  478.14MB/s  478.14MB/s
          1                       l2_write_throughput                                           L2 Throughput (Writes)  3.8286GB/s  3.8286GB/s  3.8286GB/s
          1                    sysmem_read_throughput                                    System Memory Read Throughput  371.20KB/s  371.20KB/s  371.19KB/s
          1                   sysmem_write_throughput                                   System Memory Write Throughput  1.8125MB/s  1.8125MB/s  1.8125MB/s
          1                     local_load_throughput                                     Local Memory Load Throughput  5.0410GB/s  5.0410GB/s  5.0410GB/s
          1                    local_store_throughput                                    Local Memory Store Throughput  3.7949GB/s  3.7949GB/s  3.7949GB/s
          1                    shared_load_throughput                                    Shared Memory Load Throughput  34.800MB/s  34.800MB/s  34.800MB/s
          1                   shared_store_throughput                                   Shared Memory Store Throughput  26.100MB/s  26.100MB/s  26.100MB/s
          1                            gld_efficiency                                    Global Memory Load Efficiency      72.50%      72.50%      72.50%
          1                            gst_efficiency                                   Global Memory Store Efficiency     100.00%     100.00%     100.00%
          1                    tex_cache_transactions                     Unified cache to Multiprocessor transactions        4190        4190        4190
          1                             flop_count_dp                      Floating Point Operations(Double Precision)        8192        8192        8192
          1                         flop_count_dp_add                  Floating Point Operations(Double Precision Add)        4096        4096        4096
          1                         flop_count_dp_fma                  Floating Point Operations(Double Precision FMA)           0           0           0
          1                         flop_count_dp_mul                  Floating Point Operations(Double Precision Mul)        4096        4096        4096
          1                             flop_count_sp                      Floating Point Operations(Single Precision)           0           0           0
          1                         flop_count_sp_add                  Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma                  Floating Point Operations(Single Precision FMA)           0           0           0
          1                         flop_count_sp_mul                   Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special              Floating Point Operations(Single Precision Special)        1536        1536        1536
          1                             inst_executed                                            Instructions Executed      157970      157970      157970
          1                               inst_issued                                              Instructions Issued       52810       52810       52810
          1                          dram_utilization                                        Device Memory Utilization     Low (1)     Low (1)     Low (1)
          1                        sysmem_utilization                                        System Memory Utilization     Low (1)     Low (1)     Low (1)
          1                          stall_inst_fetch                         Issue Stall Reasons (Instructions Fetch)       5.42%       5.42%       5.42%
          1                     stall_exec_dependency                       Issue Stall Reasons (Execution Dependency)      81.06%      81.06%      81.06%
          1                   stall_memory_dependency                               Issue Stall Reasons (Data Request)      13.24%      13.24%      13.24%
          1                             stall_texture                                    Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          1                                stall_sync                            Issue Stall Reasons (Synchronization)       0.06%       0.06%       0.06%
          1                               stall_other                                      Issue Stall Reasons (Other)       0.01%       0.01%       0.01%
          1          stall_constant_memory_dependency                         Issue Stall Reasons (Immediate constant)       0.20%       0.20%       0.20%
          1                           stall_pipe_busy                                  Issue Stall Reasons (Pipe Busy)       0.00%       0.00%       0.00%
          1                         shared_efficiency                                         Shared Memory Efficiency       1.34%       1.34%       1.34%
          1                                inst_fp_32                                          FP Instructions(Single)        1536        1536        1536
          1                                inst_fp_64                                          FP Instructions(Double)        8192        8192        8192
          1                              inst_integer                                             Integer Instructions      432454      432454      432454
          1                          inst_bit_convert                                         Bit-Convert Instructions        3072        3072        3072
          1                              inst_control                                        Control-Flow Instructions       63266       63266       63266
          1                        inst_compute_ld_st                                          Load/Store Instructions      169226      169226      169226
          1                                 inst_misc                                                Misc Instructions      972056      972056      972056
          1           inst_inter_thread_communication                                        Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                      Issue Slots       52810       52810       52810
