==77549== NVPROF is profiling process 77549, command: mm_offload 64 400
==77549== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==77549== Profiling application: mm_offload 64 400
==77549== Profiling result:
==77549== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_2f_13046cf_main_l50
          1                     fb_subp0_read_sectors        2836        2836        2836        2836
          1                     fb_subp1_read_sectors        2704        2704        2704        2704
          1                    fb_subp0_write_sectors       46140       46140       46140       46140
          1                    fb_subp1_write_sectors       46644       46644       46644       46644
          1              l2_subp0_write_sector_misses       50463       50463       50463       50463
          1              l2_subp1_write_sector_misses       50640       50640       50640       50640
          1               l2_subp0_read_sector_misses        1704        1704        1704        1704
          1               l2_subp1_read_sector_misses        1610        1610        1610        1610
          1          l2_subp0_read_tex_sector_queries       20028       20028       20028       20028
          1          l2_subp1_read_tex_sector_queries       20028       20028       20028       20028
          1         l2_subp0_write_tex_sector_queries      123160      123160      123160      123160
          1         l2_subp1_write_tex_sector_queries      123112      123112      123112      123112
          1             l2_subp0_read_tex_hit_sectors       18778       18778       18778       18778
          1             l2_subp1_read_tex_hit_sectors       18747       18747       18747       18747
          1            l2_subp0_write_tex_hit_sectors       76304       76304       76304       76304
          1            l2_subp1_write_tex_hit_sectors       76272       76272       76272       76272
          1        l2_subp0_total_read_sector_queries       20684       20684       20684       20684
          1        l2_subp1_total_read_sector_queries       21231       21231       21231       21231
          1       l2_subp0_total_write_sector_queries      123164      123164      123164      123164
          1       l2_subp1_total_write_sector_queries      123133      123133      123133      123133
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries         738         738         738         738
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           5           5           5           5
          1                         elapsed_cycles_sm    19322906    19322906    19322906    19322906
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
