==74673== NVPROF is profiling process 74673, command: mm_offload 8 150
==74673== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==74673== Profiling application: mm_offload 8 150
==74673== Profiling result:
==74673== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_2f_13046cf_main_l50
          1                     fb_subp0_read_sectors        1344        1344        1344        1344
          1                     fb_subp1_read_sectors        1208        1208        1208        1208
          1                    fb_subp0_write_sectors         772         772         772         772
          1                    fb_subp1_write_sectors         544         544         544         544
          1              l2_subp0_write_sector_misses        1788        1788        1788        1788
          1              l2_subp1_write_sector_misses        1717        1717        1717        1717
          1               l2_subp0_read_sector_misses         186         186         186         186
          1               l2_subp1_read_sector_misses         120         120         120         120
          1          l2_subp0_read_tex_sector_queries          77          77          77          77
          1          l2_subp1_read_tex_sector_queries          86          86          86          86
          1         l2_subp0_write_tex_sector_queries        2384        2384        2384        2384
          1         l2_subp1_write_tex_sector_queries        2360        2360        2360        2360
          1             l2_subp0_read_tex_hit_sectors          44          44          44          44
          1             l2_subp1_read_tex_hit_sectors          60          60          60          60
          1            l2_subp0_write_tex_hit_sectors         924         924         924         924
          1            l2_subp1_write_tex_hit_sectors         908         908         908         908
          1        l2_subp0_total_read_sector_queries         221         221         221         221
          1        l2_subp1_total_read_sector_queries         493         493         493         493
          1       l2_subp0_total_write_sector_queries        2476        2476        2476        2476
          1       l2_subp1_total_write_sector_queries        2293        2293        2293        2293
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries         382         382         382         382
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           5           5           5           5
          1                         elapsed_cycles_sm     9341202     9341202     9341202     9341202
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
