==76403== NVPROF is profiling process 76403, command: mm_offload 32 300
==76403== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==76403== Profiling application: mm_offload 32 300
==76403== Profiling result:
==76403== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_2f_13046cf_main_l50
          1                     fb_subp0_read_sectors        1732        1732        1732        1732
          1                     fb_subp1_read_sectors        1540        1540        1540        1540
          1                    fb_subp0_write_sectors        9312        9312        9312        9312
          1                    fb_subp1_write_sectors        9052        9052        9052        9052
          1              l2_subp0_write_sector_misses       13466       13466       13466       13466
          1              l2_subp1_write_sector_misses       13481       13481       13481       13481
          1               l2_subp0_read_sector_misses         536         536         536         536
          1               l2_subp1_read_sector_misses         478         478         478         478
          1          l2_subp0_read_tex_sector_queries        1676        1676        1676        1676
          1          l2_subp1_read_tex_sector_queries        1668        1668        1668        1668
          1         l2_subp0_write_tex_sector_queries       24640       24640       24640       24640
          1         l2_subp1_write_tex_sector_queries       24640       24640       24640       24640
          1             l2_subp0_read_tex_hit_sectors        1356        1356        1356        1356
          1             l2_subp1_read_tex_hit_sectors        1348        1348        1348        1348
          1            l2_subp0_write_tex_hit_sectors       12928       12928       12928       12928
          1            l2_subp1_write_tex_hit_sectors       12928       12928       12928       12928
          1        l2_subp0_total_read_sector_queries        2598        2598        2598        2598
          1        l2_subp1_total_read_sector_queries        2698        2698        2698        2698
          1       l2_subp0_total_write_sector_queries       24648       24648       24648       24648
          1       l2_subp1_total_write_sector_queries       24657       24657       24657       24657
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries         564         564         564         564
          1      l2_subp0_write_sysmem_sector_queries           4           4           4           4
          1      l2_subp1_write_sysmem_sector_queries           1           1           1           1
          1                         elapsed_cycles_sm    14092652    14092652    14092652    14092652
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
