==77288== NVPROF is profiling process 77288, command: mm_offload 8 400
==77288== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==77288== Profiling application: mm_offload 8 400
==77288== Profiling result:
==77288== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_2f_13046cf_main_l50
          1                     fb_subp0_read_sectors        1340        1340        1340        1340
          1                     fb_subp1_read_sectors        1212        1212        1212        1212
          1                    fb_subp0_write_sectors         764         764         764         764
          1                    fb_subp1_write_sectors         628         628         628         628
          1              l2_subp0_write_sector_misses        1740        1740        1740        1740
          1              l2_subp1_write_sector_misses        1713        1713        1713        1713
          1               l2_subp0_read_sector_misses         188         188         188         188
          1               l2_subp1_read_sector_misses         118         118         118         118
          1          l2_subp0_read_tex_sector_queries          78          78          78          78
          1          l2_subp1_read_tex_sector_queries          85          85          85          85
          1         l2_subp0_write_tex_sector_queries        2476        2476        2476        2476
          1         l2_subp1_write_tex_sector_queries        2268        2268        2268        2268
          1             l2_subp0_read_tex_hit_sectors          60          60          60          60
          1             l2_subp1_read_tex_hit_sectors          64          64          64          64
          1            l2_subp0_write_tex_hit_sectors         832         832         832         832
          1            l2_subp1_write_tex_hit_sectors        1000        1000        1000        1000
          1        l2_subp0_total_read_sector_queries         246         246         246         246
          1        l2_subp1_total_read_sector_queries         519         519         519         519
          1       l2_subp0_total_write_sector_queries        2396        2396        2396        2396
          1       l2_subp1_total_write_sector_queries        2373        2373        2373        2373
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries         376         376         376         376
          1      l2_subp0_write_sysmem_sector_queries           4           4           4           4
          1      l2_subp1_write_sysmem_sector_queries           1           1           1           1
          1                         elapsed_cycles_sm     9219538     9219538     9219538     9219538
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
