==77098== NVPROF is profiling process 77098, command: mm_offload 128 350
==77098== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==77098== Profiling application: mm_offload 128 350
==77098== Profiling result:
==77098== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_2f_13046cf_main_l50
          1                     fb_subp0_read_sectors       43075       43075       43075       43075
          1                     fb_subp1_read_sectors       41865       41865       41865       41865
          1                    fb_subp0_write_sectors      221359      221359      221359      221359
          1                    fb_subp1_write_sectors      221201      221201      221201      221201
          1              l2_subp0_write_sector_misses      229387      229387      229387      229387
          1              l2_subp1_write_sector_misses      229523      229523      229523      229523
          1               l2_subp0_read_sector_misses       43493       43493       43493       43493
          1               l2_subp1_read_sector_misses       44103       44103       44103       44103
          1          l2_subp0_read_tex_sector_queries      224564      224564      224564      224564
          1          l2_subp1_read_tex_sector_queries      224800      224800      224800      224800
          1         l2_subp0_write_tex_sector_queries      697092      697092      697092      697092
          1         l2_subp1_write_tex_sector_queries      681212      681212      681212      681212
          1             l2_subp0_read_tex_hit_sectors      182879      182879      182879      182879
          1             l2_subp1_read_tex_hit_sectors      182631      182631      182631      182631
          1            l2_subp0_write_tex_hit_sectors      503556      503556      503556      503556
          1            l2_subp1_write_tex_hit_sectors      487920      487920      487920      487920
          1        l2_subp0_total_read_sector_queries      226600      226600      226600      226600
          1        l2_subp1_total_read_sector_queries      225350      225350      225350      225350
          1       l2_subp0_total_write_sector_queries      709223      709223      709223      709223
          1       l2_subp1_total_write_sector_queries      693329      693329      693329      693329
          1       l2_subp0_read_sysmem_sector_queries        1163        1163        1163        1163
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm    34256620    34256620    34256620    34256620
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
