==74499== NVPROF is profiling process 74499, command: mm_offload 128 100
==74499== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==74499== Profiling application: mm_offload 128 100
==74499== Profiling result:
==74499== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_2f_13046cf_main_l50
          1                     fb_subp0_read_sectors       42088       42088       42088       42088
          1                     fb_subp1_read_sectors       42203       42203       42203       42203
          1                    fb_subp0_write_sectors      221990      221990      221990      221990
          1                    fb_subp1_write_sectors      221376      221376      221376      221376
          1              l2_subp0_write_sector_misses      229961      229961      229961      229961
          1              l2_subp1_write_sector_misses      229480      229480      229480      229480
          1               l2_subp0_read_sector_misses       43666       43666       43666       43666
          1               l2_subp1_read_sector_misses       43713       43713       43713       43713
          1          l2_subp0_read_tex_sector_queries      224912      224912      224912      224912
          1          l2_subp1_read_tex_sector_queries      224716      224716      224716      224716
          1         l2_subp0_write_tex_sector_queries      681592      681592      681592      681592
          1         l2_subp1_write_tex_sector_queries      696712      696712      696712      696712
          1             l2_subp0_read_tex_hit_sectors      183063      183063      183063      183063
          1             l2_subp1_read_tex_hit_sectors      182959      182959      182959      182959
          1            l2_subp0_write_tex_hit_sectors      488436      488436      488436      488436
          1            l2_subp1_write_tex_hit_sectors      503532      503532      503532      503532
          1        l2_subp0_total_read_sector_queries      225562      225562      225562      225562
          1        l2_subp1_total_read_sector_queries      226470      226470      226470      226470
          1       l2_subp0_total_write_sector_queries      693698      693698      693698      693698
          1       l2_subp1_total_write_sector_queries      708759      708759      708759      708759
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries        1162        1162        1162        1162
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           5           5           5           5
          1                         elapsed_cycles_sm    34559452    34559452    34559452    34559452
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
