==76989== NVPROF is profiling process 76989, command: mm_offload 64 350
==76989== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==76989== Profiling application: mm_offload 64 350
==76989== Profiling result:
==76989== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_2f_13046cf_main_l50
          1                     fb_subp0_read_sectors        2873        2873        2873        2873
          1                     fb_subp1_read_sectors        2672        2672        2672        2672
          1                    fb_subp0_write_sectors       46805       46805       46805       46805
          1                    fb_subp1_write_sectors       46308       46308       46308       46308
          1              l2_subp0_write_sector_misses       51009       51009       51009       51009
          1              l2_subp1_write_sector_misses       50930       50930       50930       50930
          1               l2_subp0_read_sector_misses        1647        1647        1647        1647
          1               l2_subp1_read_sector_misses        1668        1668        1668        1668
          1          l2_subp0_read_tex_sector_queries       19968       19968       19968       19968
          1          l2_subp1_read_tex_sector_queries       20084       20084       20084       20084
          1         l2_subp0_write_tex_sector_queries      122992      122992      122992      122992
          1         l2_subp1_write_tex_sector_queries      123280      123280      123280      123280
          1             l2_subp0_read_tex_hit_sectors       18791       18791       18791       18791
          1             l2_subp1_read_tex_hit_sectors       18638       18638       18638       18638
          1            l2_subp0_write_tex_hit_sectors       76192       76192       76192       76192
          1            l2_subp1_write_tex_hit_sectors       76384       76384       76384       76384
          1        l2_subp0_total_read_sector_queries       21265       21265       21265       21265
          1        l2_subp1_total_read_sector_queries       20559       20559       20559       20559
          1       l2_subp0_total_write_sector_queries      123007      123007      123007      123007
          1       l2_subp1_total_write_sector_queries      123293      123293      123293      123293
          1       l2_subp0_read_sysmem_sector_queries         767         767         767         767
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           1           1           1           1
          1      l2_subp1_write_sysmem_sector_queries           4           4           4           4
          1                         elapsed_cycles_sm    19140674    19140674    19140674    19140674
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
